file,crs,metric_crs,features,line_features,non_line_features,invalid,dup_geom,segments,total_length_m,min_m,p50_m,p90_m,max_m,short_ratio,junctions_ge3,endpoints_eq1,risk_flags
jr-east-yamanote.geojson,EPSG:4326,,1,0,1,0,0,,,,,,,,,,NON_LINE_GEOMETRY_PRESENT|NO_LINES_FOUND
tokyo-metro-hanzomon.geojson,EPSG:4326,EPSG:32654,74,62,12,0,1,62.0,36588.235031205804,141.41091669865403,245.00805532840064,1374.121258687286,2069.275267074205,0.0,2.0,8.0,NON_LINE_GEOMETRY_PRESENT|DUPLICATE_GEOMETRY_PRESENT|JUNCTIONS_DEGREE>=3_PRESENT
tokyo-metro-tozai.geojson,EPSG:4326,EPSG:32654,1,1,0,0,0,20.0,63311.06123407856,251.01824938755576,507.1586088492475,8091.224512724734,13320.06127106835,0.0,12.0,4.0,JUNCTIONS_DEGREE>=3_PRESENT
tokyo-metro-marunouchi.geojson,EPSG:4326,EPSG:32654,1,1,0,0,0,30.0,57312.79162478531,9.950414135815532,130.62857760407337,5196.057609155644,24228.622782827126,0.03333333333333333,4.0,39.0,JUNCTIONS_DEGREE>=3_PRESENT
tokyo-metro-ginza.geojson,EPSG:4326,EPSG:32654,1,1,0,0,0,92.0,29470.28952525368,18.398682787052124,142.07359116530924,866.9802568785302,2010.8762993895243,0.0,1.0,15.0,JUNCTIONS_DEGREE>=3_PRESENT
tokyo-metro-namboku.geojson,EPSG:4326,EPSG:32654,34,34,0,0,0,34.0,42626.521415832896,77.78070093245576,765.7336560779711,1838.472810939581,9791.10457017786,0.0,0.0,4.0,
tokyo-metro-yurakucho.geojson,EPSG:4326,EPSG:32654,67,67,0,0,0,67.0,56878.38642658566,40.78428668845189,372.5902733301683,1711.7148987748928,6312.076616456032,0.0,0.0,4.0,
