route,file,status,metric_crs,stations_mode,in_parts,cut_parts,mid_length_m,used_station_file,out_file
jr-east-yamanote,C:\GISWORK\geodo.earth\assets\geojson\lines\jr-east-yamanote.geojson,NO_LINES,,,,,,,
tokyo-metro-ginza,C:\GISWORK\geodo.earth\assets\geojson\lines\tokyo-metro-ginza.geojson,OK,EPSG:32654,exact_suffix,92.0,125.0,1350.122946308885,C:\GISWORK\geodo.earth\assets\geojson\stations\tokyo-metro-ginza_stations.geojson,C:\GISWORK\geodo.earth\assets\geojson\centerlines_guno\tokyo-metro-ginza_centerline.geojson
tokyo-metro-hanzomon,C:\GISWORK\geodo.earth\assets\geojson\lines\tokyo-metro-hanzomon.geojson,OK,EPSG:32654,exact_suffix,62.0,98.0,1549.876145039146,C:\GISWORK\geodo.earth\assets\geojson\stations\tokyo-metro-hanzomon_stations.geojson,C:\GISWORK\geodo.earth\assets\geojson\centerlines_guno\tokyo-metro-hanzomon_centerline.geojson
tokyo-metro-marunouchi,C:\GISWORK\geodo.earth\assets\geojson\lines\tokyo-metro-marunouchi.geojson,OK,EPSG:32654,exact_suffix,30.0,94.0,2585.2881500188823,C:\GISWORK\geodo.earth\assets\geojson\stations\tokyo-metro-marunouchi_stations.geojson,C:\GISWORK\geodo.earth\assets\geojson\centerlines_guno\tokyo-metro-marunouchi_centerline.geojson
tokyo-metro-namboku,C:\GISWORK\geodo.earth\assets\geojson\lines\tokyo-metro-namboku.geojson,OK,EPSG:32654,exact_suffix,34.0,68.0,1433.3978957263262,C:\GISWORK\geodo.earth\assets\geojson\stations\tokyo-metro-namboku_stations.geojson,C:\GISWORK\geodo.earth\assets\geojson\centerlines_guno\tokyo-metro-namboku_centerline.geojson
tokyo-metro-tozai,C:\GISWORK\geodo.earth\assets\geojson\lines\tokyo-metro-tozai.geojson,OK,EPSG:32654,exact_suffix,20.0,67.0,2493.197638411697,C:\GISWORK\geodo.earth\assets\geojson\stations\tokyo-metro-tozai_stations.geojson,C:\GISWORK\geodo.earth\assets\geojson\centerlines_guno\tokyo-metro-tozai_centerline.geojson
tokyo-metro-yurakucho,C:\GISWORK\geodo.earth\assets\geojson\lines\tokyo-metro-yurakucho.geojson,OK,EPSG:32654,exact_suffix,67.0,105.0,2189.1042789689996,C:\GISWORK\geodo.earth\assets\geojson\stations\tokyo-metro-yurakucho_stations.geojson,C:\GISWORK\geodo.earth\assets\geojson\centerlines_guno\tokyo-metro-yurakucho_centerline.geojson
